"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"2931","Linnaeusstraat 14A","SRID=4326;POINT(4.92533387809171 52.3596004430751)","1092CK","VOF Automatiek Hallo","2021-11-01","2018-11-01","13080","Fastfood","Verleend","Snackbar","","","","","3:00","7:00","1:00","7:00","","","","",""
"2932","Nieuwe Uilenburgerstraat 91","SRID=4326;POINT(4.9052688981567 52.3702067813504)","1011LM","Stichting Uilenburgersjoel","2024-08-01","2019-08-01","13518","Culturele Horeca","Verleend","Horeca VI","","","","","1:00","8:00","23:00","8:00","","","","",""
"2933","Korte Reguliersdwstr 8","SRID=4326;POINT(4.89509483863516 52.3660936170204)","1017BH","Eatmosfera","2024-02-01","2019-02-01","11060","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2934","Middenweg 35","SRID=4326;POINT(4.92955490776523 52.3545568108727)","1098AB","Café Cliché B.V.","2021-07-01","2018-07-01","14830","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.92955032205279 52.3545390946892,4.92953991421047 52.3545327939559,4.92958508320859 52.3545048201203,4.92959552090289 52.3545111389216,4.92955032205279 52.3545390946892)),((4.92946627412959 52.3545903030315,4.92945592478132 52.3545839299694,4.92952126773843 52.3545441463065,4.92953161708684 52.3545505193629,4.92946627412959 52.3545903030315)))"
"2935","Sarphatistraat 59-H","SRID=4326;POINT(4.90674793893832 52.3610724272238)","1018EX","Bakhuys","2021-09-01","2018-09-01","14980","Eethuis","Verleend","Eethuis","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.90673922717927 52.3610445034536,4.90674872473377 52.3610274992911,4.90678539989746 52.3610351771722,4.90677590235533 52.3610521813376,4.90673922717927 52.3610445034536)),((4.90678951031961 52.3610550301376,4.90679900592945 52.3610380294224,4.90681942937366 52.3610423050257,4.9068099337707 52.3610593057424,4.90678951031961 52.3610550301376)),((4.90683085301653 52.3610656900433,4.90683186117051 52.3610638961908,4.90682450923336 52.3610623667418,4.90683400580708 52.3610453642771,4.90688748835889 52.3610565607032,4.90687714083809 52.3610751277254,4.90683085301653 52.3610656900433)),((4.90689022807445 52.3610777960944,4.90690053872071 52.3610592967528,4.90692276792694 52.3610639503646,4.90691251667725 52.3610823405348,4.90689022807445 52.3610777960944)),((4.90692518609344 52.3610849237095,4.90693540181817 52.3610665987507,4.9069538806356 52.3610704672245,4.90694371428628 52.3610887014308,4.90692518609344 52.3610849237095)),((4.90696724716243 52.3610934995538,4.90697734789628 52.3610753858117,4.90700513327936 52.3610812025681,4.90699537743166 52.3610981277688,4.90698684691858 52.3610963419416,4.90698628368013 52.3610973809093,4.90696724716243 52.3610934995538)))"
"2936","Aletta Jacobslaan 7","SRID=4326;POINT(4.83114002993499 52.346627096009)","1066BP","Corendon Vitaly Hotel","2021-12-19","2018-12-19","12500","Hotel","Verleend","Horeca V","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2937","Lange Leidsedwarsstraat 86","SRID=4326;POINT(4.88407534482571 52.3642049070102)","1017NM","Do Brasil","2024-06-01","2019-06-01","5898","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88557343427501 52.3626044460287,4.88559230814209 52.3626144423618,4.88557309798716 52.3626280359156,4.88555422411866 52.3626180395795,4.88557343427501 52.3626044460287)),((4.88551326028426 52.3626470891365,4.88553247046569 52.3626334955925,4.88555134433585 52.3626434919321,4.88553213415583 52.3626570854791,4.88551326028426 52.3626470891365)))"
"2938","Sint Jacobsstraat 8","SRID=4326;POINT(4.89566950455823 52.3765215730599)","1012NC","II Vecchio Pacioccone","2021-01-31","2019-03-01","15552","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2939","Rijnstraat 248","SRID=4326;POINT(4.90690537998862 52.3410756501414)","1079HW","Fratelli D'Italia","2021-10-01","2020-04-17","11394","Fastfood","Verleend","Cafetaria","01:00","07:00","00:00","07:00","03:00","07:00","01:00","07:00","","","","",""
"2940","Seineweg 2","SRID=4326;POINT(4.81721812032771 52.3908297412966)","1043BG","Amsterdome","2021-11-21","2018-11-21","14904","Zalenverhuur","Verleend","Zalenverhuur","","","","","3:00","7:00","1:00","7:00","","","","",""
"2941","Leidsekruisstraat 24","SRID=4326;POINT(4.88486094216018 52.3635431572785)","1017RJ","Kop van Jut","2024-12-01","2019-12-01","2469","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88488903548162 52.3635011926443,4.88490866754795 52.3635120093377,4.884890990565 52.3635240331974,4.88487135849768 52.3635132165011,4.88488903548162 52.3635011926443)))"
"2942","Wijttenbachstraat 5","SRID=4326;POINT(4.92559194183301 52.3601946281135)","1093HR","Oost B.V. H.O.N. Caffè Milo","2021-06-01","2016-03-23","7804","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.92545394227703 52.3602489866779,4.92534409865021 52.3602197541546,4.92534613475325 52.3602174600993,4.92534921039415 52.3602155483159,4.92535255316208 52.3602143400889,4.92536046622463 52.3602113289984,4.92536797260609 52.3602084632352,4.92537652895731 52.3602054710371,4.92538653028366 52.360202564143,4.9253996858802 52.3601987404556,4.9254231334533 52.3601918913509,4.9254558493235 52.3601825169622,4.92547520753429 52.3601769513066,4.92549448744425 52.3601735907033,4.92549804933511 52.3601730721745,4.92550172018217 52.3601732547833,4.92552630607942 52.3601792104453,4.92552520121538 52.3601809946684,4.92552798339952 52.3601816705854,4.92552741642815 52.360182549159,4.92553289309362 52.3601838647009,4.9255236561537 52.3601982987119,4.92551819407279 52.3601969922139,4.92551552283585 52.3602011790047,4.92552098491719 52.3602024855028,4.92551174796952 52.3602169195127,4.92550628588668 52.3602156130143,4.92550361464748 52.3602197998048,4.92550907673076 52.3602211063034,4.92549985445481 52.3602355403696,4.92549437769056 52.3602342338133,4.92549170644912 52.3602384206036,4.92549718321381 52.3602397271599,4.92548790146504 52.360254232894,4.92548243947171 52.3602529174073,4.92548196281698 52.3602535806306,4.92547985485733 52.3602530062024,4.92547863218021 52.3602548259163,4.92545394227703 52.3602489866779)))"
"2943","Damrak 50A","SRID=4326;POINT(4.89566815753412 52.3753748548087)","1012LL","Stock B.V.","2024-06-01","2019-06-01","10198","Restaurant","Verleend","Restaurant","3:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89568214669303 52.3753435282695,4.89571752099807 52.3753274546428,4.89573117674829 52.3753387115717,4.8956958024392 52.3753547852024,4.89568214669303 52.3753435282695)),((4.89571712003785 52.3753723439872,4.89575249137838 52.3753562717019,4.89576807296029 52.3753691161416,4.89573270161512 52.3753851884314,4.89571712003785 52.3753723439872)))"
"2944","Warmoesstraat 70-H","SRID=4326;POINT(4.89755131917813 52.3750014758628)","1012JH","Shenouda Amsterdam","2022-01-01","2019-01-01","15134","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2945","Jan Willem Brouwersstr 32","SRID=4326;POINT(4.87726939177035 52.3559881235407)","1071LK","Café Welling","2021-01-01","2017-10-19","14390","Café","Verleend","Café","1:00","16:00","2:00","16:00","2:00","16:00","1:00","16:00","","","","","SRID=4326;MULTIPOLYGON(((4.87730175939845 52.3559304634748,4.87725301729579 52.3559179679703,4.87726548874743 52.3558997297912,4.87731423083363 52.3559122252906,4.87730175939845 52.3559304634748)))"
"2946","Orlyplein 103A","SRID=4326;POINT(4.83759312515017 52.3891907252721)","1043DT","Starbucks (Amsterdam Sloterdijk station)","2022-03-25","2019-02-08","15198","Alcoholvrij","Verleend","Koffiehuis","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2947","Bakkersstraat 12","SRID=4326;POINT(4.89721590228802 52.3668034335875)","1017CW","Portugalia Tasca","2023-01-01","2020-01-01","15815","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","","","","",""
"2948","Arena boulevard 54","SRID=4326;POINT(4.93937052584161 52.312720965906)","1101DJ","Ballini caffe e panini","2021-07-01","2018-07-01","14878","Alcoholvrij","Verleend","Lunchroom","","","","","3:00","7:00","1:00","7:00","","","","",""
"2949","Waterlandplein 16","SRID=4326;POINT(4.95435982228879 52.3927544599537)","1024LW","Emos-Döner","2024-09-01","2019-09-01","12876","Alcoholvrij","Verleend","Broodjeszaak","","","","","3:00","7:00","1:00","7:00","","","","",""
"2950","Spaarndammerstraat 93A-H","SRID=4326;POINT(4.87864057874826 52.3900838600298)","1013TC","Johnny's Pizza Express","2022-07-01","2019-07-01","335","Fastfood","Verleend","Afhaalrestaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2951","Herenstraat 22-H","SRID=4326;POINT(4.88883250848759 52.3772569744395)","1015CB","Oeuf","2023-01-01","2020-01-01","15759","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","","","","",""
"2952","Prinsenstraat 30-H","SRID=4326;POINT(4.88654761701005 52.3780202781179)","1015DD","De Vergulde Gaper","2021-01-01","2016-01-01","5480","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88653141526781 52.3780036265411,4.88657085191327 52.377990070659,4.886578762906 52.3779986901347,4.88653932625528 52.3780122460196,4.88653141526781 52.3780036265411)),((4.88657959540358 52.3780808813866,4.88656942379809 52.378084479399,4.88652532920978 52.3780377931456,4.88653550080813 52.378034195137,4.88657959540358 52.3780808813866)),((4.88661114648413 52.378114259548,4.8865997034221 52.3781183073149,4.88657949336098 52.3780969094561,4.88659093641933 52.3780928616911,4.88661114648413 52.378114259548)),((4.88647666191219 52.3780821772961,4.88652872565201 52.3781422893334,4.88648850123622 52.3781553371876,4.88643643753564 52.3780952251328,4.88647666191219 52.3780821772961)))"
"2953","Noordermarkt 7","SRID=4326;POINT(4.88743433525417 52.3801360928301)","1015MV","Domenica","2021-11-01","2018-11-01","15062","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88742805214389 52.3800107776302,4.88743822936848 52.3799891897161,4.88755111575247 52.3800091192551,4.88754093857807 52.3800307071789,4.88742805214389 52.3800107776302)))"
"2954","Mosveld 113","SRID=4326;POINT(4.91440011023439 52.3907323405535)","1031AD","De Bakkerszonen","2020-10-01","2016-06-27","13468","Eethuis","Verleend","Eethuis","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2955","Fannius Scholtenstraat 10A","SRID=4326;POINT(4.87319059610224 52.3850093682)","1051EX","Baq-fiets- de Werkplaats","2022-06-01","2019-06-01","15352","Restaurant","Verleend","Restaurant","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.87320942428302 52.3849714954128,4.87318006127336 52.3849709645599,4.87318040830344 52.3849637778418,4.87320977130835 52.3849643086947,4.87320942428302 52.3849714954128)),((4.87322837701665 52.3849837646674,4.87324012222407 52.3849839770047,4.87323882089626 52.385010927198,4.87322707568172 52.3850107148606,4.87322837701665 52.3849837646674)))"
"2956","Willem de Zwijgerlaan 333","SRID=4326;POINT(4.85771614546325 52.38195741696)","1055RB","Eetcafé Landlust","2022-05-01","2019-05-01","15194","Café","Verleend","Eetcafé","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.85777280242286 52.3819128265887,4.85783577330064 52.3818764009304,4.85790135289467 52.3819188532277,4.85783838201022 52.3819552789204,4.85777280242286 52.3819128265887)),((4.85771595751397 52.3819251417922,4.85773196708522 52.3819158810425,4.85779250205256 52.3819550678323,4.85777649247976 52.38196432859,4.85771595751397 52.3819251417922)),((4.85775911752509 52.3819812706324,4.85777931216032 52.3819943234658,4.85774198340421 52.382015949334,4.85772178877017 52.3820028964942,4.85775911752509 52.3819812706324)),((4.85767379460336 52.3820307011563,4.85771112340495 52.3820090753098,4.85773131803866 52.3820221281513,4.85769398923588 52.3820437540042,4.85767379460336 52.3820307011563)))"
"2957","Amsteldijk 355","SRID=4326;POINT(4.89507907313848 52.3224496462308)","1083AB","Poignant Holding B.V.","2023-03-01","2019-07-11","15390","Café","Verleend","Café","00:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2958","Oudezijds Voorburgwal 250-H","SRID=4326;POINT(4.89528202077257 52.371729598899)","1012GK","Rick's Juice Bar BV","2023-06-01","2020-06-01","12091","Coffeeshop","Verleend","Coffeeshop","01:00","07:00","01:00","07:00","01:00","07:00","01:00","07:00","","","","","SRID=4326;MULTIPOLYGON(((4.89539979942513 52.3716701569659,4.8954345448503 52.3716547148237,4.8954970629249 52.3717021306559,4.89545846628753 52.3717196091727,4.89542874181112 52.371695147109,4.89545248110606 52.3716849458315,4.89543581427084 52.3716704157139,4.89541207497984 52.371680616988,4.89539979942513 52.3716701569659)),((4.89535460277221 52.3717092054261,4.89533728887132 52.3717159885676,4.89532144244259 52.3717008404892,4.89533790522889 52.3716944055551,4.89535460277221 52.3717092054261)))"
"2959","Slotermeerlaan 115","SRID=4326;POINT(4.82062170927825 52.3803569638449)","1063JN","Serifoglu West B.V.","2020-07-21","2017-06-29","12742","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.820752750883 52.380396237343,4.82071864308142 52.3803148394135,4.82075420831358 52.3803092585958,4.8207883161761 52.3803906565154,4.820752750883 52.380396237343)),((4.82064324475981 52.3803266707116,4.82068307784035 52.3803204202204,4.820717185581 52.3804018181601,4.82067735243222 52.3804080686624,4.82064324475981 52.3803266707116)))"
"2960","Sint Luciënsteeg 25A","SRID=4326;POINT(4.89087613565433 52.3704799396966)","1012PM","Museumcafé Mokum","2023-12-01","2018-12-01","13184","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89122822789646 52.3703960312999,4.89094081834337 52.3703746245334,4.89084119065782 52.3700764044172,4.89108601345931 52.3701743331282,4.89116848666596 52.3703692230996,4.89120977840453 52.3703626764692,4.89121205605796 52.3703623231821,4.89122822789646 52.3703960312999)))"
"2961","Eerste Atjehstraat 112-H","SRID=4326;POINT(4.9367104199093 52.362529236252)","1094KS","Guzel Ankara","2021-07-01","2016-07-01","7894","Alcoholvrij","Verleend","Koffiehuis","","","","","3:00","7:00","1:00","7:00","","","","",""
"2962","Overtoom 411","SRID=4326;POINT(4.86135019968512 52.3591001851336)","1054JR","Café Roenie's","2022-10-01","2019-09-20","15523","Café","Verleend","Eetcafé","1:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","","","","","SRID=4326;MULTIPOLYGON(((4.86125992876386 52.3591093025315,4.86136477699936 52.3591374717138,4.86134649113372 52.3591629842603,4.86124164284975 52.359134815062,4.86125992876386 52.3591093025315)))"
"2963","Vijzelstraat 71-H","SRID=4326;POINT(4.89282065192904 52.3646371547306)","1017HG","Bagels Amsterdam Restaurant","2022-05-01","2019-05-01","15348","Alcoholvrij","Verleend","Onbekend","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89278398793889 52.3646491439307,4.89277863588792 52.3646333019152,4.89279588823175 52.3646311176764,4.89280124028862 52.3646469596911,4.89278398793889 52.3646491439307)),((4.89278696130218 52.3646579450503,4.89280421365517 52.3646557608103,4.89280956571792 52.3646716028245,4.89279231335904 52.3646737870653,4.89278696130218 52.3646579450503)))"
"2964","Lange Leidsedwarsstraat 25-H","SRID=4326;POINT(4.88417769101313 52.3643149359535)","1017NE","VOF La Luna Steakhouse/Grill","2023-09-01","2018-09-01","10820","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88413973342574 52.3642844214004,4.88415737052331 52.364272495391,4.88419100047253 52.3642911337192,4.88418096680247 52.3642979183799,4.8841744375086 52.3643036550367,4.88413973342574 52.3642844214004)))"
"2965","Kleine-Gartmanplantsoen 7-1","SRID=4326;POINT(4.88350952246111 52.3636093235167)","1017RP","Societeit de Kring","2025-02-01","2020-02-01","2259","Sociëteit","Verleend","Sociëteit","","","","","05:00","09:00","04:00","09:00","","","","",""
"2966","Arena boulevard 590","SRID=4326;POINT(4.94422845971961 52.3123168147355)","1101DS","Afas Live","2024-02-01","2019-02-01","137","Culturele Horeca","Verleend","Horeca VI","","","","","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.94296123049487 52.3125758548769,4.94290176147077 52.312431231631,4.9434985802899 52.3123758637469,4.94333970705923 52.3125487215411,4.94296123049487 52.3125758548769)))"
"2967","Bijlmerplein 561D","SRID=4326;POINT(4.95459383600404 52.3147113181361)","1102DS","Lucky King en Hong","2021-04-01","2016-04-02","5553","Eethuis","Verleend","Eethuis","","","","","3:00","7:00","1:00","7:00","","","","",""
"2968","Marie Heinekenplein 9","SRID=4326;POINT(4.89162582508806 52.3572443680955)","1072MH","VJFB B.V.","2020-12-01","2017-08-09","14268","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.8914701490126 52.3572236905001,4.89141724655776 52.3571994727546,4.8914524055676 52.3571706810333,4.89150530800743 52.3571948987632,4.8914701490126 52.3572236905001)),((4.89155255277428 52.3572767496122,4.89151544115299 52.3572576112627,4.89157309273088 52.3572099397323,4.89161295635476 52.357226824427,4.891583784792 52.3572535214436,4.89155255277428 52.3572767496122)))"
"2969","Oudezijds Voorburgwal 32","SRID=4326;POINT(4.8994277504313 52.3752968120776)","1012GD","Thai Street Bar","2023-02-01","2020-02-01","15767","Café","Verleend","Café","02:00","09:00","01:00","09:00","04:00","09:00","03:00","09:00","","","","",""
"2970","Berenstraat 8-H","SRID=4326;POINT(4.88394586496565 52.3704507242295)","1016GH","Thai Fusion","2022-03-01","2019-03-01","8365","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88396834380859 52.3704044811334,4.88396968718565 52.3704152345677,4.88393396468465 52.3704169065018,4.88393396468465 52.3704169065018,4.88393262131619 52.370406153067,4.88393262131619 52.370406153067,4.88396834380859 52.3704044811334)))"
"2971","Lange Leidsedwarsstraat 49-H","SRID=4326;POINT(4.88481253063136 52.3639294183175)","1017NG","Bojo","2022-05-01","2017-05-01","12021","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.8847536122555 52.3639133873256,4.8847214550289 52.3638956281579,4.88475193986452 52.3638749412056,4.88478409708799 52.3638927003651,4.8847536122555 52.3639133873256)))"
"2972","Lijnbaansgracht 162B","SRID=4326;POINT(4.87774409851844 52.3701059327139)","1016VX","SV Club Kaliber / SV Superschot","2022-06-01","2017-06-01","11765","Additionele horeca","Verleend","Clubgebouw","","","","","0:00","0:00","0:00","0:00","","","","",""
"2973","Govert Flinckstraat 326-H","SRID=4326;POINT(4.89944293915275 52.3565308235765)","1073CJ","101 Gowrie B.V.","2022-02-01","2018-11-06","15016","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2974","Leidsestraat 96A","SRID=4326;POINT(4.88365837698626 52.3647244165256)","1017PE","Wok To Walk","2020-12-01","2017-12-01","7765","Restaurant","Verleend","Restaurant","","","","","4:00","7:00","3:00","7:00","","","","",""
"2975","Singel 494","SRID=4326;POINT(4.89013827741359 52.3668728322975)","1017AW","T'Singeltje Panecakes","2022-04-01","2019-04-01","15317","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89011047888889 52.3669008288743,4.89015611992752 52.3668940061991,4.89016047370968 52.3669049197027,4.89011483266049 52.3669117423798,4.89011047888889 52.3669008288743)))"
"2976","Weteringschans 93-H","SRID=4326;POINT(4.88735577885504 52.3610192033742)","1017RZ","Levant","2024-01-01","2019-01-01","9954","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88735490100121 52.3609679864663,4.8873699405926 52.3609796108259,4.88729514231167 52.3610158829022,4.88728010272808 52.3610042585333,4.88735490100121 52.3609679864663)))"
"2977","Tweede Van der Helststraat 52A","","1072PG","Café Dopey's Elixer","2023-01-01","","16184","Café","Verleend","Café","01:00","07:00","00:00","07:00","03:00","07:00","01:00","07:00","","","","",""
"2978","Warmoesstraat 94-H","SRID=4326;POINT(4.89690997275512 52.3745674228977)","1012JH","Sant Mario Big Shots B.V.","2023-01-01","2020-01-01","13918","Café","Verleend","Café","","","","","03:00","07:00","01:00","07:00","","","","",""
"2979","Stadhouderskade 6","SRID=4326;POINT(4.87940463241175 52.3630974934679)","1054ES","Tommy Hilfiger Europe Bv","2020-06-01","2017-06-01","9940","Restaurant met zaalverhuur","Verleend","Restaurant met zaalverhuur","","","","","3:00","7:00","1:00","7:00","","","","",""
"2980","Amstelveenseweg 53","SRID=4326;POINT(4.85586076350417 52.3541235278678)","1075VT","The Labyrinth","","","13644","Café","Nog niet bekend","Café","","","","","","","","","","","","","SRID=4326;MULTIPOLYGON(((4.85580135176012 52.3541255443852,4.85579420269196 52.3541245290373,4.85580813166322 52.354087758195,4.85581528072581 52.3540887735421,4.85580135176012 52.3541255443852)))"
"2981","Rozengracht 154","SRID=4326;POINT(4.87845464556145 52.3729797580863)","1016NJ","Hilal","2021-01-01","2016-01-01","9947","Fastfood","Verleend","Grillroom","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.87848951173106 52.3729605430614,4.87851800556711 52.3729677584829,4.8785067780515 52.3729843677465,4.87847828420665 52.3729771523223,4.87848951173106 52.3729605430614)),((4.87844541414591 52.372949376324,4.87847526481651 52.372956935348,4.87846403728769 52.3729735446076,4.87843418660789 52.3729659855808,4.87844541414591 52.372949376324)))"
"2982","Gustav Mahlerlaan 10","SRID=4326;POINT(4.87489010067164 52.3370049732568)","1082PP","Vermaat Leisure B.V.","2020-09-01","2017-05-17","14072","Restaurant","Verleend","Restaurant","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.87459375856908 52.336989940555,4.87446904633127 52.3369897513046,4.87446915541119 52.336962789099,4.87459386757342 52.336962978349,4.87459375856908 52.336989940555)))"
"2983","Beulingstraat 7","SRID=4326;POINT(4.8877763905871 52.3680043277711)","1017BA","Pianeta Terra","2024-04-01","2019-04-01","7762","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2984","De Wittenstraat 100A","SRID=4326;POINT(4.87833828950378 52.3831351976416)","1052BA","Vereniging Zaal 100","2022-04-01","2019-04-01","7685","Additionele horeca","Verleend","Theaterfoyer","","","","","5:00","9:00","4:00","9:00","","","","",""
"2985","Nieuwe Maanstraat 1","SRID=4326;POINT(4.88617958893437 52.4119375940588)","1033JK","Snackbar  Menora","2022-07-01","2019-07-01","8156","Fastfood","Verleend","Snackbar","22:00","7:00","22:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88622285093038 52.4119311656366,4.88619302448241 52.4119074381831,4.88620700697295 52.4119008655107,4.886236833424 52.4119245929608,4.88622285093038 52.4119311656366)))"
"2986","Buikslotermeerplein 145","SRID=4326;POINT(4.93752912594389 52.3991205238984)","1025ET","Snooker, Biljart en Poolc""Boven 't IJ""","2020-07-01","2017-07-01","8247","Café","Verleend","Café","","","","","3:00","7:00","1:00","7:00","","","","",""
"2987","Leidseplein 14","SRID=4326;POINT(4.88255853660851 52.3646118886735)","1017PT","Café De Waard","2021-06-01","2018-06-01","11002","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","","","","","SRID=4326;MULTIPOLYGON(((4.88255666220387 52.364577602246,4.88255375806641 52.3645761793223,4.88253724509283 52.3645888093375,4.88259799365447 52.3646185739366,4.88261450662192 52.364605943913,4.88262808394368 52.3645955592251,4.88260401375357 52.3645837657145,4.88259043642982 52.3645941503996,4.88257782823909 52.3645879728431,4.88257782823906 52.3645879728431,4.88255666220387 52.364577602246),(4.88259043642982 52.3645941503996,4.88261236340733 52.3646048938167,4.88259043642981 52.3645941503996,4.88259043642982 52.3645941503996)),((4.88284759722627 52.3643183532397,4.88257165590696 52.364529409827,4.88263531620147 52.3645598238534,4.88281890019217 52.3644194078708,4.88279597624364 52.3644081759925,4.88288771408579 52.3643380090068,4.88284759722627 52.3643183532397)),((4.88257782823909 52.3645879728431,4.88259140556387 52.3645775881593,4.88256733539323 52.3645657946413,4.88255375806642 52.3645761793223,4.88255666220387 52.364577602246,4.88257782823909 52.3645879728431)))"
"2988","Cullinanplein 1","SRID=4326;POINT(4.90632015523759 52.353342471869)","1074JN","CC Amstel","2021-11-01","2019-02-20","14955","Culturele Horeca","Verleend","Horeca VI","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.90592918151275 52.3532147247171,4.90588241635814 52.3532782184492,4.905815517963 52.3532597438532,4.9058622831935 52.3531962501472,4.90592918151275 52.3532147247171)))"
"2989","Middenweg 32-H","SRID=4326;POINT(4.92938127671028 52.3543134755646)","1097BP","W.Jun thodh Coffee Company Jun","2022-05-01","2019-03-14","10792","Alcoholvrij","Verleend","Koffiehuis","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.92933563951375 52.3543864132454,4.92927498732758 52.3543511273432,4.9292931854397 52.3543393995465,4.92935383762438 52.3543746854394,4.92933563951375 52.3543864132454)))"
"2990","Johan Huizingalaan 87","SRID=4326;POINT(4.82749348561013 52.3630075712187)","1065HW","Marhaba West B.V.","2022-10-07","2019-08-09","15491","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2991","Motorwal 300","SRID=4326;POINT(4.91777562238275 52.3844303070437)","1021PH","Huis van de Wijk De Meeuw","2020-08-01","2017-08-01","14048","Additionele horeca","Verleend","Buurtcentrum","","","","","3:00","7:00","1:00","7:00","","","","",""
"2992","Wijttenbachstraat 16-H","SRID=4326;POINT(4.92616602596572 52.3600440737885)","1093JB","Ras Eetcafe","2024-10-01","2019-10-01","13575","Café","Verleend","Café","","","","","3:00","7:00","1:00","7:00","","","","",""
